,retain,sim
0,True,0.2947065830230713
1,True,0.32712340354919434
2,True,0.3275890350341797
3,True,0.33921560645103455
4,True,0.29197442531585693
5,True,0.32938945293426514
6,False,0.2561682164669037
7,True,0.3653940260410309
8,True,0.2805246114730835
9,True,0.3099514842033386
10,True,0.3239690065383911
11,True,0.2960543930530548
12,True,0.33788001537323
13,True,0.2889251708984375
14,True,0.3433091342449188
15,True,0.3073563873767853
16,True,0.33907783031463623
17,True,0.2747003436088562
18,True,0.3081289529800415
19,True,0.29342934489250183
20,False,0.2479456663131714
21,True,0.366925984621048
22,True,0.267055481672287
23,True,0.26651036739349365
24,True,0.316456139087677
25,True,0.2673739492893219
26,False,0.25552114844322205
27,True,0.26830771565437317
28,True,0.34071844816207886
29,True,0.35645604133605957
30,True,0.32624730467796326
31,True,0.28252309560775757
32,True,0.33264851570129395
33,True,0.3276314437389374
34,True,0.30094975233078003
35,True,0.3230074346065521
36,True,0.300029456615448
37,True,0.3740907907485962
38,True,0.271289587020874
39,True,0.29432374238967896
40,True,0.3327866196632385
41,True,0.29859691858291626
42,True,0.3135109543800354
43,True,0.35515695810317993
44,False,0.2431219071149826
45,True,0.3226141333580017
46,True,0.281510591506958
47,True,0.38284918665885925
48,True,0.3095105290412903
49,True,0.32605409622192383
50,True,0.2818760573863983
51,True,0.3680463135242462
52,True,0.2912676930427551
53,False,0.20291996002197266
54,False,0.2491302788257599
55,True,0.33817797899246216
56,True,0.30152133107185364
57,True,0.3143617510795593
58,True,0.315939337015152
59,True,0.3113555908203125
60,True,0.31486883759498596
61,True,0.2987859845161438
62,True,0.3245393931865692
63,True,0.3745322525501251
64,True,0.27421489357948303
65,True,0.26238906383514404
66,True,0.3236936926841736
67,True,0.2882455289363861
68,True,0.3117322325706482
69,True,0.31315478682518005
70,False,0.22938452661037445
71,True,0.30261972546577454
72,True,0.327053040266037
73,True,0.2893798053264618
74,True,0.3081250488758087
75,True,0.263255774974823
76,True,0.2982347905635834
77,True,0.2692725658416748
78,True,0.33065107464790344
79,False,0.25936684012413025
80,True,0.2760542631149292
81,True,0.3390178680419922
82,True,0.3173656463623047
83,True,0.30076998472213745
84,True,0.2673942446708679
85,True,0.30398255586624146
86,True,0.3249208331108093
87,True,0.2857903838157654
88,True,0.3081165552139282
89,True,0.3576969802379608
90,True,0.3619093894958496
91,True,0.3105895519256592
92,True,0.3312980532646179
93,True,0.27320384979248047
94,True,0.29446303844451904
95,True,0.35555949807167053
96,True,0.2811218500137329
97,False,0.2549692690372467
98,True,0.3665807545185089
99,True,0.26980116963386536
100,True,0.32722383737564087
101,True,0.2781306505203247
102,True,0.30145949125289917
103,True,0.3137686252593994
104,True,0.2989627718925476
105,True,0.3234677314758301
106,True,0.32748842239379883
107,True,0.34509050846099854
108,True,0.28210705518722534
109,False,0.23966377973556519
110,False,0.25843435525894165
111,False,0.2302505075931549
112,True,0.32876938581466675
113,True,0.2729540467262268
114,True,0.3566988706588745
115,True,0.2906060814857483
116,True,0.3339897692203522
117,False,0.2532033622264862
118,True,0.30022871494293213
119,True,0.3204369843006134
120,True,0.3050422966480255
121,True,0.34074848890304565
122,True,0.3437046408653259
123,True,0.3539699614048004
124,True,0.35151010751724243
125,False,0.2170686423778534
126,True,0.2978348731994629
127,True,0.34524261951446533
128,True,0.31434911489486694
129,True,0.32106900215148926
130,True,0.3968884348869324
131,True,0.3328966498374939
132,True,0.2899938225746155
133,True,0.28716573119163513
134,True,0.2655601501464844
135,True,0.2897902727127075
136,True,0.2773372530937195
137,True,0.33027204871177673
138,True,0.33416271209716797
139,True,0.3067058026790619
140,True,0.27178841829299927
141,True,0.3712531626224518
142,True,0.29853639006614685
143,True,0.3959369659423828
144,True,0.28496265411376953
145,True,0.313689649105072
146,True,0.329745352268219
147,True,0.3153759241104126
148,False,0.22720366716384888
149,True,0.301718533039093
150,True,0.3111029863357544
151,True,0.34120744466781616
152,True,0.3123396635055542
153,False,0.24212463200092316
154,True,0.36683881282806396
155,True,0.3076450824737549
156,True,0.298020601272583
157,True,0.2839798033237457
158,True,0.31679970026016235
159,True,0.2941265106201172
160,True,0.3591528534889221
161,False,0.24859806895256042
162,True,0.33291158080101013
163,True,0.2968563437461853
164,False,0.2440178394317627
165,True,0.26628732681274414
166,True,0.2912222743034363
167,True,0.3153477907180786
168,True,0.3000778555870056
169,False,0.2324906885623932
170,False,0.21606841683387756
171,True,0.27966398000717163
172,False,0.2567867636680603
173,True,0.27661895751953125
174,True,0.26855769753456116
175,False,0.16124777495861053
176,False,0.2547212243080139
177,True,0.26957038044929504
178,False,0.2586394250392914
179,True,0.29874834418296814
180,True,0.2698383033275604
181,True,0.275566041469574
182,False,0.24997739493846893
183,True,0.2822282314300537
184,True,0.2686919569969177
185,False,0.2453295886516571
186,False,0.22418659925460815
187,False,0.24986886978149414
188,False,0.2537548542022705
189,True,0.2950602173805237
190,True,0.27465328574180603
191,True,0.2715865969657898
192,True,0.2717610001564026
193,False,0.2581694722175598
194,False,0.24911659955978394
195,True,0.26852160692214966
196,False,0.20326733589172363
197,True,0.28189754486083984
198,True,0.27389249205589294
199,True,0.28104040026664734
200,True,0.30763161182403564
201,True,0.2868429720401764
202,False,0.25526928901672363
203,False,0.25289493799209595
204,False,0.22005511820316315
205,False,0.25882986187934875
206,True,0.26649338006973267
207,True,0.26486313343048096
208,False,0.22214941680431366
209,False,0.25549033284187317
210,False,0.2523611783981323
211,False,0.22065486013889313
212,True,0.2654631435871124
213,True,0.2789030075073242
214,False,0.24150758981704712
215,False,0.259943425655365
216,True,0.27088749408721924
217,True,0.2671055197715759
218,False,0.2560562491416931
219,False,0.21291044354438782
220,True,0.2890443801879883
221,True,0.2721771001815796
222,True,0.2752881944179535
223,True,0.27817457914352417
224,True,0.2904936671257019
225,False,0.22547182440757751
226,True,0.29850906133651733
227,True,0.2906607985496521
228,True,0.27989596128463745
229,False,0.24518880248069763
230,True,0.26297885179519653
231,True,0.2983074188232422
232,True,0.26705268025398254
233,True,0.28396886587142944
234,True,0.31109732389450073
235,False,0.21677231788635254
236,True,0.2661169171333313
237,True,0.28171104192733765
238,False,0.21459642052650452
239,True,0.27214962244033813
240,False,0.2366665005683899
